age,fnlwgt,education.num,capital.gain,capital.loss,hours.per.week,workclass,education,marital.status,occupation,relationship,race,sex,native.country,income
17.0,1484705.0,1.0,99999.0,0.0,1.0, Federal-gov, 10th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female, Cambodia, <=50K
90.0,1484705.0,16.0,0.0,0.0,1.0, ?, 10th, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Female, ?, <=50K
90.0,1484705.0,1.0,0.0,0.0,99.0, ?, 12th, Divorced, ?, Husband, Black, Female, ?, <=50K
90.0,1484705.0,1.0,0.0,0.0,1.0, Federal-gov, 10th, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Female, Cambodia, <=50K
90.0,1484705.0,1.0,0.0,0.0,99.0, Local-gov, 10th, Divorced, ?, Other-relative, Asian-Pac-Islander, Female, Cambodia, <=50K
90.0,1484705.0,1.0,0.0,0.0,1.0, Never-worked, 10th, Divorced, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male, ?, <=50K
17.0,1484705.0,16.0,0.0,0.0,1.0, ?, 10th, Divorced, ?, Own-child, Black, Female, Columbia, >50K
90.0,1484705.0,1.0,0.0,4356.0,99.0, ?, 11th, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female, ?, <=50K
90.0,1484705.0,1.0,0.0,0.0,1.0, ?, 10th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,1484705.0,1.0,99999.0,4356.0,99.0, Federal-gov, 11th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, Cambodia, <=50K
90.0,1484705.0,16.0,0.0,4356.0,99.0, Never-worked, 10th, Divorced, Exec-managerial, Husband, Amer-Indian-Eskimo, Female, ?, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,1.0, ?, 12th, Divorced, ?, Not-in-family, Asian-Pac-Islander, Female, ?, <=50K
90.0,1484705.0,1.0,0.0,4356.0,99.0, ?, 10th, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Female, China, <=50K
17.0,1484705.0,16.0,0.0,0.0,1.0, Local-gov, 5th-6th, Married-civ-spouse, ?, Husband, Amer-Indian-Eskimo, Female, Cambodia, <=50K
90.0,1484705.0,16.0,99999.0,4356.0,1.0, ?, 10th, Married-AF-spouse, ?, Husband, Amer-Indian-Eskimo, Male, ?, <=50K
17.0,1484705.0,1.0,99999.0,4356.0,1.0, ?, 10th, Divorced, Armed-Forces, Not-in-family, Amer-Indian-Eskimo, Female, Canada, <=50K
90.0,1484705.0,16.0,0.0,0.0,1.0, ?, 11th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, China, <=50K
90.0,12285.0,16.0,99999.0,0.0,99.0, Federal-gov, 10th, Married-AF-spouse, ?, Husband, Black, Female, Columbia, <=50K
90.0,1484705.0,1.0,0.0,0.0,1.0, Never-worked, 10th, Divorced, ?, Other-relative, Amer-Indian-Eskimo, Female, ?, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,99.0, ?, 10th, Married-AF-spouse, Adm-clerical, Not-in-family, White, Male, Columbia, >50K
90.0,1484705.0,1.0,0.0,0.0,1.0, Never-worked, 10th, Divorced, ?, Own-child, Amer-Indian-Eskimo, Male, ?, <=50K
17.0,1484705.0,1.0,0.0,4356.0,99.0, Federal-gov, 12th, Married-civ-spouse, Armed-Forces, Husband, White, Male, ?, <=50K
17.0,1484705.0,1.0,99999.0,0.0,99.0, ?, 10th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Male, ?, <=50K
90.0,1484705.0,16.0,99999.0,0.0,99.0, Federal-gov, 10th, Divorced, Adm-clerical, Husband, Black, Male, Cambodia, <=50K
90.0,1484705.0,16.0,99999.0,2000.462,1.0, ?, 11th, Married-spouse-absent, ?, Husband, Amer-Indian-Eskimo, Male, Cambodia, >50K
17.0,1484705.0,16.0,0.0,0.0,99.0, Federal-gov, 11th, Married-spouse-absent, Adm-clerical, Husband, Asian-Pac-Islander, Female, ?, >50K
90.0,1484705.0,16.0,99999.0,0.0,1.0, ?, 11th, Never-married, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, Canada, >50K
17.0,1484705.0,1.0,0.0,0.0,1.0, ?, 10th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, Cambodia, <=50K
90.0,1484705.0,16.0,0.0,4356.0,99.0, Federal-gov, 11th, Married-civ-spouse, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Female, China, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,99.0, ?, 10th, Divorced, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, ?, <=50K
90.0,1484705.0,16.0,99999.0,0.0,1.0, Federal-gov, 10th, Divorced, Armed-Forces, Other-relative, Amer-Indian-Eskimo, Female, Cambodia, >50K
90.0,1484705.0,1.0,0.0,4356.0,99.0, Federal-gov, 10th, Divorced, ?, Husband, Amer-Indian-Eskimo, Male, Cambodia, <=50K
90.0,1484705.0,16.0,99999.0,4356.0,99.0, ?, 10th, Divorced, ?, Husband, Amer-Indian-Eskimo, Female, Cambodia, <=50K
90.0,1484705.0,1.0,99999.0,0.0,99.0, Self-emp-not-inc, 10th, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo, Female, ?, <=50K
17.0,1484705.0,16.0,0.0,0.0,1.0, ?, 11th, Never-married, Adm-clerical, Husband, Asian-Pac-Islander, Female, Canada, <=50K
17.0,1484705.0,1.0,0.0,0.0,99.0, ?, 11th, Married-AF-spouse, ?, Husband, Asian-Pac-Islander, Female, Columbia, <=50K
90.0,1484705.0,1.0,0.0,4356.0,1.0, ?, 11th, Married-civ-spouse, Adm-clerical, Husband, White, Female, France, <=50K
90.0,1484705.0,1.0,99999.0,0.0,1.0, ?, 10th, Divorced, ?, Husband, Amer-Indian-Eskimo, Female, Cambodia, <=50K
17.0,1484705.0,1.0,0.0,4356.0,1.0, ?, 11th, Divorced, Adm-clerical, Husband, Asian-Pac-Islander, Female, Ecuador, <=50K
17.0,1484705.0,16.0,0.0,4356.0,1.0, Federal-gov, 10th, Divorced, Adm-clerical, Other-relative, Asian-Pac-Islander, Female, China, <=50K
90.0,1484705.0,1.0,99999.0,0.0,99.0, Federal-gov, 10th, Divorced, ?, Husband, White, Female, ?, >50K
90.0,1484705.0,1.0,99999.0,0.0,1.0, Local-gov, 11th, Married-spouse-absent, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Male, ?, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,99.0, ?, 10th, Divorced, ?, Not-in-family, Asian-Pac-Islander, Male, ?, <=50K
17.0,1484705.0,1.0,99999.0,4356.0,99.0, ?, 10th, Divorced, Adm-clerical, Husband, Black, Male, Canada, <=50K
90.0,1484705.0,16.0,99999.0,0.0,1.0, Federal-gov, 10th, Married-AF-spouse, ?, Other-relative, Asian-Pac-Islander, Male, ?, <=50K
90.0,1484705.0,1.0,99999.0,4356.0,99.0, ?, 11th, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female, ?, <=50K
