Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.10476306080818176,6.782522678375244,0.6187455654144287,33.07466506958008,41.76971435546875,2277.4921875,0.015283829532563686,0.035515379160642624,1.082872986793518,0.0029264986515045166,Nov,2,2,1,2,Returning_Visitor,False,False
0.0,0.8761640787124634,0.06115365028381348,11.800945281982422,7.265016078948975,0.0,0.07647990435361862,0.07357867807149887,0.9168394207954407,0.0004189908504486084,Nov,2,1,6,2,Returning_Visitor,True,False
13.273738861083984,340.1457214355469,2.4455065727233887,309.8446044921875,34.74159240722656,499.4652099609375,0.01152754481881857,0.0293477363884449,3.8967318534851074,0.0,Nov,2,2,3,2,Returning_Visitor,True,False
5.008552074432373,933.9660034179688,0.17490863800048828,0.603563666343689,17.385692596435547,370.8887634277344,0.024815334007143974,0.03887989744544029,0.19010841846466064,0.0,May,2,2,9,2,New_Visitor,True,False
14.163590431213379,188.15213012695312,0.5691790580749512,22.678539276123047,408.8043518066406,11723.408203125,0.0036211013793945312,0.0059473696164786816,5.018752098083496,0.01576581597328186,May,2,2,1,2,Returning_Visitor,False,False
10.340947151184082,251.4883575439453,3.565225839614868,192.4678955078125,35.05921173095703,1497.6253662109375,0.0029972733464092016,0.02232014574110508,21.51201820373535,0.0,May,3,2,3,1,Returning_Visitor,False,False
3.784876585006714,174.0229949951172,0.0,4.957138538360596,47.725955963134766,2079.35107421875,0.026327550411224365,0.042474616318941116,1.310295820236206,0.0036596953868865967,Nov,2,2,3,2,Returning_Visitor,False,False
0.0149039626121521,5.145159721374512,0.0,0.0,0.0,318.92547607421875,0.199990913271904,0.20000000298023224,1.847543716430664,0.009318739175796509,May,3,13,5,2,Returning_Visitor,False,False
4.260315895080566,110.01490783691406,0.10982608795166016,4.980235576629639,17.266878128051758,523.6708984375,0.01985808089375496,0.03495261073112488,22.840858459472656,0.004781097173690796,May,1,1,1,2,Returning_Visitor,True,True
0.0,0.0,1.663463830947876,51.370147705078125,4.9077277183532715,504.6968078613281,0.06839632987976074,0.09325268864631653,0.6985052824020386,0.7993581891059875,May,2,2,1,2,Returning_Visitor,False,False
9.63479995727539,248.36434936523438,4.414734363555908,269.4110107421875,54.275455474853516,1643.6507568359375,0.002411097288131714,0.00957943219691515,71.21895599365234,0.001497417688369751,Nov,5,2,3,2,Returning_Visitor,True,True
1.8736627101898193,75.2103271484375,1.8746731281280518,81.01899719238281,44.49943542480469,1891.2213134765625,0.00708001246675849,0.02355637587606907,21.416484832763672,0.003133624792098999,May,2,2,1,2,Returning_Visitor,False,False
